locus_tag	MW0	MY0	MZ0	MW1	MY1	MZ1	MW2	MY2	MZ2	MW3	MX3	MY3	MZ3	MW4	MX4	MY4	MZ4	MW5	MX5	MY5	MW6	MX6	MY6	MZ6
 AURMO_00049:FAD/FMN-containing dehydrogenase	713	697	751	970	551	503	455	783	1485	1289	615	1123	344	1141	1210	1065	2362	1225	764	1595	520	1018	1113	2403
 AURMO_00050:ribose 5-phosphate isomerase B	314	318	335	402	234	253	188	304	689	528	271	460	150	421	475	421	639	496	317	651	192	326	464	547
 AURMO_00051:NADPH:quinone reductase-like Zn-dependent oxidoreductase	272	346	277	374	192	200	184	301	613	484	256	424	118	377	574	372	562	466	335	496	177	505	389	531
 AURMO_00052:monosaccharide ABC transporter substrate-binding protein (CUT2 family) 	958	973	1150	1392	794	790	699	1319	2221	1701	850	1404	488	1902	1570	1654	3899	1951	1132	2298	1020	1280	2067	3904
 AURMO_00053:monosaccharide ABC transporter ATP-binding protein (CUT2 family) 	71	56	40	76	35	30	37	83	122	72	71	72	16	74	449	75	155	117	65	114	64	368	94	152
 AURMO_00054:monosaccharide ABC transporter membrane protein (CUT2 family) 	93	95	86	101	78	70	74	142	220	183	95	189	60	199	324	202	323	179	116	238	94	261	225	398
 AURMO_00055:quinol monooxygenase YgiN	95	101	107	162	99	120	82	128	236	208	130	175	71	186	227	175	249	202	166	237	81	153	200	292
" AURMO_00056:2-keto-4-pentenoate hydratase/2-oxohepta-3-ene-1,7-dioic acid hydratase in catechol pathway"	226	270	257	346	162	218	162	290	530	487	311	377	140	391	541	476	591	513	305	584	201	392	404	607
 AURMO_00057:succinate-semialdehyde dehydrogenase/glutarate-semialdehyde dehydrogenase	276	293	255	354	204	243	163	337	605	479	336	439	147	398	717	417	666	469	342	629	210	636	375	634
 AURMO_00058:DNA-binding transcriptional LysR family regulator	561	589	564	753	396	410	393	570	1121	902	511	745	202	677	840	656	951	925	691	946	388	655	745	1184
 AURMO_00059:kynurenine formamidase	258	278	256	341	175	190	168	279	527	390	286	293	102	310	531	324	432	378	342	469	180	445	342	411
 AURMO_00060:uncharacterized protein (TIGR02246 family)	255	230	285	351	222	204	210	250	559	436	434	425	107	356	541	383	440	435	371	474	226	410	394	529
 AURMO_00061:UDP-N-acetylmuramyl tripeptide synthase	2652	2821	3030	4319	2229	2165	1940	3112	6130	4219	3089	3685	941	2956	4531	2747	3939	3451	3609	3910	1316	2990	2285	3334
 AURMO_00062:hypothetical protein	628	575	640	828	393	469	424	651	1354	894	819	865	219	637	1139	643	795	753	782	811	242	717	443	698
 AURMO_00063:POT family proton-dependent oligopeptide transporter	15144	15489	16861	19870	11494	13051	10036	16679	33632	23013	18988	20191	6632	19975	23425	20038	25695	23536	20800	29242	10804	16628	19770	26783
 AURMO_00064:alpha-beta hydrolase superfamily lysophospholipase	4168	4169	5097	5881	3246	3617	2877	4792	9942	7269	5901	6264	1892	5534	7302	5729	8321	7955	5969	8988	3023	5148	5782	8759
 AURMO_00065:predicted GNAT family acetyltransferase	1337	1246	1316	1885	938	962	815	1077	2550	2076	1329	1605	505	1484	2136	1388	2209	2188	1713	2538	868	1428	1529	2474
 AURMO_00066:site-specific DNA-methyltransferase (adenine-specific)	400	366	453	485	228	296	248	285	733	548	286	395	134	405	702	316	388	531	426	603	213	535	390	440
 AURMO_00067:hypothetical protein	223	202	218	303	132	201	163	223	430	355	236	292	91	221	443	218	272	339	254	333	100	334	220	287
 AURMO_00068:hypothetical protein	408	516	337	494	243	287	251	289	657	687	588	538	167	575	579	514	617	668	529	675	324	437	599	693
 AURMO_00069:hypothetical protein	401	472	323	421	257	319	220	343	671	552	451	482	167	477	494	504	560	592	462	660	242	374	473	581
 AURMO_00070:hypothetical protein	411	388	364	488	249	286	232	298	640	608	390	487	177	506	495	514	608	619	482	682	297	374	536	614
 AURMO_00071:hypothetical protein	348	382	317	366	248	254	234	274	572	552	378	489	206	487	498	499	555	552	498	603	223	418	520	587
 AURMO_00072:hypothetical protein	1527	1561	1570	1887	1099	1257	971	1650	3475	2558	1711	2295	739	2241	2113	2336	2791	2436	1794	2821	1051	1589	2255	2903
 AURMO_00073:ABC-type bacteriocin/lantibiotic exporter with double-glycine peptidase domain	757	718	837	1062	495	643	544	854	1647	1151	945	1020	339	1021	1587	884	1089	1347	921	1334	504	1286	912	1157
 AURMO_00074:NHLM bacteriocin system ABC transporter peptidase/ATP-binding protein	1631	1561	1600	2189	996	1165	1100	1514	3205	2404	1748	2088	598	1812	2640	1720	1938	2205	1903	2307	962	2051	1623	2036
 AURMO_00075:HlyD family secretion protein	840	765	827	1045	483	630	583	702	1551	1177	781	930	317	912	1148	786	762	1100	906	1079	463	817	720	794
 AURMO_00076:galactosyltransferase-like protein	581	571	574	734	371	395	375	654	1233	880	577	826	234	795	869	784	949	967	669	1093	388	633	764	797
 AURMO_00077:hypothetical protein	247	287	300	361	186	185	204	293	518	431	309	439	118	369	556	338	430	433	286	501	214	447	337	403
 AURMO_00078:glycosyltransferase involved in cell wall biosynthesis	346	351	386	496	297	296	251	363	801	592	444	544	150	406	761	425	452	567	484	634	249	560	402	500
 AURMO_00079:Anp1 protein	273	303	347	406	211	248	198	298	622	432	277	410	120	327	528	298	388	383	373	511	176	426	406	317
 AURMO_00080:hypothetical protein	179	183	214	187	139	187	111	213	505	275	154	249	92	246	295	255	444	320	204	374	120	155	324	266
 AURMO_00081:EmrB/QacA subfamily drug resistance transporter	606	576	530	768	485	404	365	800	1227	753	625	635	214	504	1132	460	450	617	574	765	244	903	421	454
 AURMO_00082:HxlR family transcriptional regulator 	214	180	185	231	156	133	117	206	357	304	236	255	94	214	347	175	177	230	200	211	118	330	151	231
 AURMO_00083:D-alanyl-D-alanine carboxypeptidase	271	276	332	417	232	232	157	369	695	443	318	384	112	297	692	293	368	406	366	446	161	535	260	327
 AURMO_00084:phosphoglucomutase	1680	1533	1780	2158	1188	1178	999	1573	3108	2624	1657	2027	572	1950	2599	1862	2919	3073	1834	2934	1199	2207	1975	3433
 AURMO_00085:prephenate dehydratase	2248	2000	2180	3018	1439	1520	1357	1958	4110	3033	2160	2171	755	2177	2911	1941	2154	2910	2556	2911	1171	2040	1807	2303
 AURMO_00086:seryl-tRNA synthetase 	2454	2269	2591	3648	1858	1988	1601	2664	5408	3892	2636	3238	910	2729	3859	2604	2980	3542	3025	3733	1329	2584	2321	2955
 AURMO_00087:Cof subfamily protein (haloacid dehalogenase superfamily)/HAD superfamily hydrolase (TIGR01484 family)	1464	1366	1413	2009	968	1088	996	1597	3183	2244	1839	1905	561	1670	2155	1678	1968	1961	1828	2195	778	1525	1359	1855
 AURMO_00089:LytR family transcriptional attenuator 	9190	8246	8363	12077	4908	5571	5207	6796	14455	11157	4536	8206	2392	7631	8027	6499	5792	12033	7858	10952	4938	6978	7173	6618
 AURMO_00091:hypothetical protein	3	1	0	3	2	1	2	4	1	0	0	0	0	1	91	0	0	0	6	0	1	69	2	2
 AURMO_00092:superfamily II DNA/RNA helicase	23674	19109	26243	28312	12882	14007	9568	13904	25703	23068	8069	13225	4841	12605	20762	10617	4691	28925	21752	31511	9749	17928	14074	8113
 AURMO_00093:uncharacterized membrane protein	1058	1057	1029	1392	654	752	633	1030	1993	1361	1006	1096	334	1166	1611	1085	1056	1310	1418	1463	560	1189	984	1056
 AURMO_00094:acyl-coenzyme A oxidase 	1760	1516	1574	2254	1465	917	1300	2553	2358	7542	3755	5742	1588	4735	3141	4087	7588	9839	1550	8061	3855	4091	4585	13048
 AURMO_00095:EmrB/QacA subfamily drug resistance transporter	1124	1149	1259	1554	882	1049	788	1363	2515	1908	1389	1644	523	1420	1856	1527	2002	1906	1298	2259	821	1563	1459	2067
 AURMO_00096:hypothetical protein	510	544	488	716	340	433	430	561	1164	991	586	697	220	911	584	696	906	1133	512	918	495	512	774	986
 AURMO_00097:FAR-17a/AIG1-like protein	136	134	120	187	101	93	92	134	248	196	134	182	54	181	284	155	246	290	167	287	111	227	258	285
 AURMO_00098:polyphosphate kinase 2	956	804	1043	1257	510	714	619	799	1764	1411	839	1193	373	996	1338	905	1174	1507	1023	1521	593	974	1011	1225
 AURMO_00099:carboxymethylenebutenolidase	802	784	795	1122	556	640	523	841	1674	1308	960	957	327	989	1375	958	1289	1302	1090	1534	545	1045	971	1334
 AURMO_00100:methionine synthase (B12-dependent) 	4700	4175	5174	6995	3423	3561	3187	4832	10416	7511	4785	6163	1774	4847	7449	4418	4842	6521	5598	6757	2529	5605	4025	5132
 AURMO_00101:predicted nucleotidyltransferase	185	171	207	262	141	145	134	178	419	306	219	223	61	177	355	177	172	277	195	349	94	284	233	195
 AURMO_00102:energy-coupling factor transport system substrate-specific component	128	100	116	200	83	83	112	161	244	163	264	187	39	185	426	127	202	230	205	202	87	361	152	240
 AURMO_00103:energy-coupling factor transport system ATP-binding protein	930	943	979	1262	732	750	736	1155	2328	1478	2158	1313	410	1362	2209	1028	1746	1634	1434	1610	656	1487	1168	1743
 AURMO_00104:hypothetical protein	2686	2767	3038	3320	2081	2085	1647	3073	5898	3835	5044	3346	1136	3334	4492	2772	3777	4008	3901	3911	1715	3017	2899	4019
 AURMO_00105:hypothetical protein	726	686	767	1061	588	594	507	838	1663	1354	1166	1172	357	1168	1342	1172	1718	1296	1034	1377	535	869	985	1468
 AURMO_00106:hypothetical protein	3771	3452	3494	5129	2223	2534	2003	3433	6811	5592	1989	3910	1132	2900	2615	2803	3756	5752	2176	5128	2406	2860	3506	3450
 AURMO_00107:TetR family transcriptional regulator 	1493	1264	1483	1600	705	1041	754	986	2268	1803	929	1436	423	1361	1044	930	1335	2091	925	1722	911	1161	1275	1316
" AURMO_00108:glutamate-1-semialdehyde 2,1-aminomutase "	746	1024	996	1316	845	1109	886	1475	3501	2683	2694	2981	939	1158	1445	1807	1386	1739	779	2018	669	1137	878	883
 AURMO_00109:porphobilinogen synthase	1053	1317	1177	1677	1058	1352	1076	2021	5096	3425	2750	3424	992	1662	1617	2357	1827	2402	1039	2738	834	1066	1317	1080
 AURMO_00110:uroporphyrinogen-III synthase	470	476	419	636	316	440	446	598	1547	1079	936	1028	278	615	662	685	459	763	421	752	231	475	402	289
 AURMO_00111:hydroxymethylbilane synthase 	1206	1326	1191	1911	946	1283	1073	1509	4429	2731	2166	2779	764	1698	1592	1897	1202	2079	921	2132	770	1126	1043	734
 AURMO_00112:glutamyl-tRNA reductase 	1738	1644	1573	2466	1086	1555	1436	1753	5106	3471	2468	3258	869	2213	1845	2243	1513	2960	1113	2939	931	1395	1449	1074
 AURMO_00113:uroporphyrinogen decarboxylase 	2453	2423	2373	3683	1627	2238	2092	2679	7344	5161	3125	4547	1319	3475	2347	3474	2149	4291	1727	4141	1481	1774	2249	1496
 AURMO_00114:oxygen-dependent protoporphyrinogen oxidase	1447	1680	1480	2336	1049	1376	1338	1894	4925	3516	2912	3316	967	2475	1979	2639	1930	2972	1317	2861	1048	1453	1680	1282
 AURMO_00115:chlorite dismutase	1789	1852	1603	2722	1443	1708	1788	2691	6394	5423	4317	5321	1620	3081	2202	3853	2973	3902	1402	3981	1363	1470	2156	1803
 AURMO_00116:ferrochelatase 	3215	3412	3072	4636	2648	3216	3320	5280	12179	9902	8703	8840	2701	5231	4317	6884	5529	6693	2877	7423	2266	2665	3730	3448
 AURMO_00120:murein DD-endopeptidase MepM/ murein hydrolase activator NlpD	6132	5801	6185	9145	4237	4024	3581	5409	12896	9572	4207	7543	1796	5604	6892	5510	7060	9022	5057	9127	3230	5024	5387	6126
 AURMO_00121:transposase-like protein	22	24	17	28	18	20	17	26	38	34	21	20	12	22	39	26	43	40	25	33	19	20	26	35
 AURMO_00122:transposase InsO family protein	80	78	88	96	45	55	71	57	107	111	52	99	33	86	174	78	89	116	100	117	35	105	103	71
 AURMO_00123:inorganic pyrophosphatase	7941	7590	8556	11466	5859	5746	5171	8269	17218	14334	7105	11161	3109	9592	10261	9148	10484	12117	8647	13479	4539	7520	8002	9944
 AURMO_00124:tRNA(Ile)-lysidine synthase	658	653	827	1116	521	478	393	650	1551	1175	527	894	223	731	1143	699	1041	1226	685	1372	403	1039	802	1030
 AURMO_00125:hypoxanthine phosphoribosyltransferase 	1046	1163	1146	1423	863	864	646	1187	2486	1778	1235	1565	420	1257	1533	1288	1638	1718	1348	1947	626	1078	1238	1439
 AURMO_00126:membrane protease FtsH catalytic subunit 	6812	6255	6748	9054	4630	5147	4030	6052	12436	9838	4872	7156	2221	5350	7173	5307	5425	10576	5844	10490	3922	6391	5993	7032
 AURMO_00127:GTP cyclohydrolase I	1572	1368	1596	2101	1010	1072	873	1240	2656	1919	948	1388	437	1207	1694	1104	1152	2178	1415	2219	867	1387	1367	1199
 AURMO_00128:dihydropteroate synthase	653	569	697	918	372	448	371	502	1149	901	337	712	162	508	822	431	508	930	519	921	341	741	621	499
 AURMO_00129:dihydroneopterin aldolase	124	172	179	205	100	126	83	136	316	236	119	186	46	142	237	133	196	238	148	289	104	222	212	194
 AURMO_00130:2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase	143	152	157	185	89	110	66	82	289	239	116	144	36	125	252	118	142	238	141	178	87	241	143	162
 AURMO_00131:uncharacterized protein DUF3180	105	137	139	185	79	102	74	97	266	204	120	140	32	122	235	137	153	240	128	227	83	209	145	218
 AURMO_00132:predicted short-subunit dehydrogenase-like oxidoreductase (DUF2520 family)	483	450	531	643	319	398	312	463	974	755	407	531	149	520	805	435	557	848	523	851	304	628	530	571
 AURMO_00133:pantothenate synthetase 	220	193	224	329	142	194	149	230	472	372	216	247	67	251	464	212	322	419	232	343	135	442	282	326
 AURMO_00134:lysyl-tRNA synthetase class II 	3164	2952	3422	4414	2193	2505	2037	2930	6364	4790	2916	3904	1209	3209	4314	2940	3081	4334	3464	4610	1672	3305	2754	3353
 AURMO_00135:hypothetical protein	113	79	102	143	53	72	88	86	178	133	75	92	44	93	138	92	72	129	72	113	33	128	69	83
 AURMO_00136:cardiolipin synthetase 2 	929	886	900	1227	579	709	673	802	1713	1270	896	1018	317	1058	1367	858	859	1204	1065	1255	560	1095	802	957
 AURMO_00137:maltooligosyl trehalose hydrolase 	759	728	798	1016	489	561	456	718	1555	1165	829	1059	303	821	1219	835	1085	1174	872	1205	517	1024	788	1106
 AURMO_00138:Cys-tRNA(Pro) deacylase	1349	1369	2097	1959	1034	1013	810	1250	3045	1978	273	1629	425	947	1041	891	1322	1910	736	2361	758	1758	1229	1388
 AURMO_00139:TfoX/Sxy family transcriptional regulator of competence genes	2013	2001	2269	2364	1304	1375	1270	1790	3180	2212	490	1580	621	1468	1212	1232	1331	2207	1336	2457	1147	1691	1855	1625
 AURMO_00140:AhpD family alkylhydroperoxidase	5578	5885	5834	7492	3524	3429	3450	3885	9272	6518	1667	5244	1616	4221	3920	3512	4583	7213	3908	7807	3581	5271	5300	5547
 AURMO_00141:hypothetical protein	3545	3704	4214	4842	2188	2198	2133	2296	5286	3784	525	2663	919	2104	1954	1588	1488	3887	1954	3868	1993	3308	2440	2280
 AURMO_00142:ATP-dependent Clp protease ATP-binding subunit ClpC	13016	11918	12569	15530	8458	9189	7313	10184	18307	17600	4667	10782	3900	7114	9495	6260	7228	22127	8118	21016	7619	11887	11900	12812
 AURMO_00143:N-acetylglutamate synthase 	1249	1179	1631	1913	1019	986	788	1042	2969	1994	899	1599	445	1269	1755	1158	1362	2119	1443	2464	736	1286	1353	1272
 AURMO_00144:hypothetical protein	3378	3764	3331	5026	2769	2630	2513	4153	7495	5455	5072	4864	1364	4770	5864	4201	6149	4657	4947	4838	2025	3445	3274	4852
 AURMO_00145:GAF domain-containing protein	610	584	705	851	401	385	470	568	1111	1081	418	864	236	1465	1172	970	2071	1755	722	1463	876	936	1485	2238
 AURMO_00146:aldehyde dehydrogenase	6351	5813	5483	8915	5940	3182	4933	7252	9110	17184	9635	16622	7769	38544	16732	27675	48268	35513	12791	37997	17068	12952	31134	52008
 AURMO_00147:hypothetical protein	3636	2833	3004	4300	2167	1913	2144	2924	4518	5827	4117	4703	1885	8233	5680	6680	8802	8909	5214	9413	3959	4332	6927	10418
 AURMO_00148:Fic/DOC family protein	183	189	207	240	136	143	105	163	395	253	141	274	83	246	290	216	226	292	203	321	115	170	205	229
 AURMO_00149:hypothetical protein	1009	783	1216	1259	591	934	681	1171	2342	1379	1024	1408	345	1294	1168	1171	1802	1700	1071	1887	632	815	1423	1379
 AURMO_00150:DNA repair protein RadA/Sms	2341	2358	2424	3404	1944	1825	1653	2918	5363	4141	2784	3366	1015	3106	3884	3016	4414	3996	2905	4565	1638	2687	2798	4376
 AURMO_00152:LuxR family two component transcriptional regulator 	294	295	328	400	174	223	195	271	589	484	242	322	105	316	485	305	339	477	298	393	170	416	319	323
 AURMO_00153:signal transduction histidine kinase	243	229	196	299	132	141	148	196	422	365	194	224	76	255	529	231	227	308	232	333	149	478	216	235
 AURMO_00154:putative ABC transport system ATP-binding protein	62	43	53	62	61	48	32	74	129	82	58	87	17	62	197	71	72	89	61	109	29	156	76	67
 AURMO_00155:putative ABC transport system permease protein	100	131	115	140	84	90	76	127	240	164	99	114	47	125	448	121	126	152	123	179	59	412	123	151
 AURMO_00156:uncharacterized repeat protein (TIGR02543 family)	294	294	297	378	212	263	162	305	597	506	328	459	148	361	740	348	446	444	348	513	204	582	367	453
 AURMO_00157:signal transduction histidine kinase	430	418	433	547	289	345	331	414	838	645	393	656	189	619	851	559	685	674	458	744	301	603	590	584
 AURMO_00158:LuxR family two component transcriptional regulator 	114	130	149	159	89	89	74	95	248	165	98	170	43	158	291	125	163	196	121	233	78	205	160	122
 AURMO_00159:hypothetical protein	14	13	12	12	2	2	6	13	18	10	9	6	5	5	73	12	9	14	9	10	9	27	9	15
 AURMO_00160:DNA-binding NarL/FixJ family response regulator	1166	1057	1121	1373	745	778	688	908	1810	1545	1080	1135	475	1431	1458	1359	1980	1823	1391	1990	740	1045	1558	2057
 AURMO_00161:signal transduction histidine kinase	519	486	531	641	327	405	430	506	908	802	613	694	226	785	943	746	900	910	636	985	368	612	746	930
 AURMO_00162:uncharacterized protein DUF285	618	656	581	757	447	381	354	612	1034	805	540	675	197	581	1298	593	618	858	609	944	370	1101	661	661
 AURMO_00163:hypothetical protein	6	13	6	8	9	6	5	13	10	12	1	3	2	9	44	3	8	11	6	20	6	19	11	3
 AURMO_00164:hypothetical protein	122	108	120	158	85	85	79	117	211	183	64	139	40	150	184	121	102	175	94	169	78	154	147	109
 AURMO_00165:AbrB family transcriptional regulator 	228	228	289	349	180	165	142	230	503	407	262	348	121	331	359	285	405	386	245	467	202	288	297	390
 AURMO_00166:ATP-dependent RNA helicase CsdA 	1267	1214	1233	1827	933	1093	846	1209	2733	2069	1542	1581	501	1302	2380	1358	1452	1971	1630	2096	714	1657	1287	1345
 AURMO_00167:hypothetical protein	237	205	253	308	141	163	164	222	459	378	197	299	100	280	355	238	307	336	222	348	155	323	258	283
 AURMO_00168:hypothetical protein	107	117	147	165	90	88	88	107	262	233	128	178	34	134	276	139	181	206	139	224	71	250	147	212
 AURMO_00169:uncharacterized protein DUF2834	134	119	117	180	77	105	82	146	240	189	155	167	56	190	300	171	200	198	129	215	90	251	177	169
 AURMO_00170:hypothetical protein	7	4	4	8	6	2	2	12	7	7	4	4	0	1	100	11	6	5	16	8	2	83	1	0
 AURMO_00171:ADP-ribose pyrophosphatase YjhB (NUDIX family)	462	426	546	716	435	375	314	490	960	687	614	772	222	559	895	542	757	716	553	780	322	729	487	807
